GLEN TILT (FEALAR LODGE),,,,,,,,,,,,
Grid ref,NO0084079940,Long,-3.630,Lat,56.900,,,,,,,
Station no,5566/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.80,,,,,,,
February,,,,,2.90,,,,,,,
March,,,,,2.50,,,,,,,
April,,,,,1.40,,,,,,,
May,,,,,3.00,,,,,,,
June,,,,,0.56,,,,,,,
July,,,,,0.65,,,,,,,
August,,,,,2.26,,,,,,,
September,,,,,3.04,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,8.35,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,8.35,19.11,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
